Date,Price,Open,High,Low,Vol.,Change %
2016-07-15,"27,836.50","27,966.14","28,048.70","27,735.87",16.78K,-0.38%
2016-07-14,"27,942.11","27,857.80","27,967.77","27,763.15",10.77K,0.46%
2016-07-13,"27,815.18","27,912.14","27,928.76","27,752.14",18.12K,0.03%
2016-07-12,"27,808.14","27,667.81","27,828.74","27,667.81",12.60K,0.66%
2016-07-11,"27,626.69","27,358.23","27,647.48","27,358.23",24.60K,1.84%
2016-07-08,"27,126.90","27,292.20","27,294.82","27,034.14",14.29K,-0.27%
2016-07-07,"27,201.49","27,209.97","27,288.22","27,146.95",9.09K,0.13%
2016-07-05,"27,166.87","27,340.72","27,348.66","27,127.30",10.72K,-0.41%
2016-07-04,"27,278.76","27,314.44","27,385.66","27,251.06",8.63K,0.49%
2016-07-01,"27,144.91","27,064.33","27,243.36","27,061.40",10.27K,0.54%
2016-06-30,"26,999.72","26,926.17","27,069.23","26,872.59",8.93K,0.97%
2016-06-29,"26,740.39","26,627.15","26,776.17","26,606.31",7.89K,0.81%
2016-06-28,"26,524.55","26,410.66","26,583.33","26,378.46",8.42K,0.46%
2016-06-27,"26,402.96","26,347.81","26,493.51","26,262.72",18.94K,0.02%
2016-06-24,"26,397.71","26,367.48","26,435.85","25,911.33",25.20K,-2.24%
2016-06-23,"27,002.22","26,753.20","27,060.98","26,736.52",9.62K,0.88%
2016-06-22,"26,765.65","26,791.68","26,887.29","26,617.45",7.88K,-0.18%
2016-06-21,"26,812.78","26,907.42","26,925.64","26,754.60",7.20K,-0.20%
2016-06-20,"26,866.92","26,497.11","26,885.49","26,447.88",9.82K,0.91%
2016-06-17,"26,625.91","26,653.85","26,730.55","26,538.51",9.59K,0.38%
2016-06-16,"26,525.46","26,686.03","26,686.03","26,314.91",13.00K,-0.75%
2016-06-15,"26,726.34","26,500.79","26,752.59","26,446.59",12.75K,1.25%
2016-06-14,"26,395.71","26,482.50","26,485.45","26,264.81",8.02K,0.00%
2016-06-13,"26,396.77","26,468.27","26,468.27","26,262.27",9.37K,-0.90%
2016-06-10,"26,635.75","26,742.26","26,972.06","26,620.50",10.39K,-0.48%
2016-06-09,"26,763.46","26,994.48","26,994.91","26,692.35",10.37K,-0.95%
2016-06-08,"27,020.66","27,085.24","27,105.41","26,973.71",12.90K,0.04%
2016-06-07,"27,009.67","26,833.54","27,082.63","26,829.53",15.26K,0.87%
2016-06-06,"26,777.45","26,897.84","26,901.42","26,729.54",9.03K,-0.24%
2016-06-03,"26,843.03","26,919.23","27,008.14","26,792.07",13.40K,0.00%
2016-06-02,"26,843.14","26,694.28","26,885.16","26,641.02",11.37K,0.48%
2016-06-01,"26,713.93","26,684.46","26,857.25","26,671.86",13.85K,0.17%
2016-05-31,"26,667.96","26,817.75","26,837.20","26,561.58",27.32K,-0.22%
2016-05-30,"26,725.60","26,694.75","26,794.96","26,623.33",15.33K,0.27%
2016-05-27,"26,653.60","26,415.93","26,677.43","26,405.28",21.42K,1.09%
2016-05-26,"26,366.68","26,008.25","26,398.94","25,941.51",14.34K,1.88%
2016-05-25,"25,881.17","25,432.10","25,897.87","25,430.59",9.77K,2.27%
2016-05-24,"25,305.47","25,256.97","25,340.47","25,181.47",10.99K,0.30%
