Date,Price,Open,High,Low,Vol.,Change %
2018-09-28,"27,788.52","27,879.06","27,927.95","27,672.83",1.69B,0.26%
2018-09-27,"27,715.67","27,912.51","27,928.29","27,638.54",1.49B,-0.36%
2018-09-26,"27,816.87","27,606.81","28,031.81","27,589.37",2.41B,1.15%
2018-09-24,"27,499.39","27,783.85","27,783.85","27,425.01",1.56B,-1.62%
2018-09-21,"27,953.58","27,712.35","27,965.96","27,536.27",2.86B,1.73%
2018-09-20,"27,477.67","27,605.72","27,628.19","27,327.23",1.44B,0.26%
2018-09-19,"27,407.37","27,170.02","27,488.35","27,085.79",1.93B,1.19%
2018-09-18,"27,084.66","26,846.33","27,156.55","26,648.99",1.87B,0.56%
2018-09-17,"26,932.85","27,029.91","27,037.48","26,763.21",1.30B,-1.30%
2018-09-14,"27,286.41","27,229.79","27,340.02","27,027.45",1.76B,1.01%
2018-09-13,"27,014.49","26,798.39","27,014.49","26,648.77",2.41B,2.54%
2018-09-12,"26,345.04","26,462.82","26,468.91","26,219.56",2.33B,-0.29%
2018-09-11,"26,422.55","26,611.93","26,690.65","26,394.87",1.74B,-0.72%
2018-09-10,"26,613.42","26,922.27","26,926.63","26,453.29",2.11B,-1.33%
2018-09-07,"26,973.47","26,895.87","27,196.57","26,669.58",2.95B,-0.01%
2018-09-06,"26,974.82","27,069.21","27,268.39","26,818.82",2.24B,-0.99%
2018-09-05,"27,243.85","27,789.02","27,861.99","27,208.34",1.97B,-2.61%
2018-09-04,"27,973.34","27,619.18","27,984.89","27,563.79",1.14B,0.94%
2018-09-03,"27,712.54","27,809.45","27,822.19","27,577.04",1.44B,-0.63%
2018-08-31,"27,888.55","27,798.21","27,962.03","27,720.32",1.98B,-0.98%
2018-08-30,"28,164.05","28,533.93","28,533.93","28,121.40",1.33B,-0.89%
2018-08-29,"28,416.44","28,362.84","28,485.83","28,272.13",1.41B,0.23%
2018-08-28,"28,351.62","28,530.89","28,579.64","28,234.53",1.70B,0.28%
2018-08-27,"28,271.27","28,016.66","28,289.06","27,956.04",2.20B,2.17%
2018-08-24,"27,671.87","27,565.98","27,830.91","27,532.06",1.54B,-0.43%
2018-08-23,"27,790.46","28,005.33","28,051.65","27,659.21",1.51B,-0.49%
2018-08-22,"27,927.58","27,836.68","27,954.52","27,579.80",1.84B,0.63%
2018-08-21,"27,752.79","27,670.54","27,771.30","27,526.30",1.75B,0.56%
2018-08-20,"27,598.02","27,273.78","27,609.80","27,209.22",1.71B,1.41%
2018-08-17,"27,213.41","27,388.57","27,450.84","27,101.10",1.61B,0.42%
2018-08-16,"27,100.06","26,871.11","27,405.25","26,871.11",2.20B,-0.82%
2018-08-15,"27,323.59","27,724.72","27,727.27","27,249.08",1.97B,-1.55%
2018-08-14,"27,752.93","27,938.32","27,946.55","27,522.82",1.54B,-0.66%
2018-08-13,"27,936.57","27,956.78","28,085.17","27,823.21",1.53B,-1.52%
2018-08-10,"28,366.62","28,614.73","28,665.90","28,296.99",1.32B,-0.84%
2018-08-09,"28,607.30","28,260.50","28,728.17","28,192.81",1.49B,0.88%
2018-08-08,"28,359.14","28,473.48","28,473.48","28,224.46",1.66B,0.39%
2018-08-07,"28,248.88","27,889.44","28,266.68","27,843.16",1.60B,1.54%
2018-08-06,"27,819.56","27,885.51","28,074.53","27,730.42",1.49B,0.52%
2018-08-03,"27,676.32","27,751.60","27,786.15","27,604.56",1.66B,-0.14%
2018-08-02,"27,714.56","28,159.01","28,218.28","27,578.09",2.05B,-2.21%
2018-08-01,"28,340.74","28,756.72","28,772.80","28,219.97",1.56B,-0.85%
2018-07-31,"28,583.01","28,663.14","28,682.31","28,538.03",1.51B,-0.52%
2018-07-30,"28,733.13","28,631.05","28,839.24","28,539.56",1.27B,-0.25%
2018-07-27,"28,804.28","28,734.73","28,816.69","28,572.79",1.24B,0.08%
2018-07-26,"28,781.14","29,083.40","29,083.40","28,625.08",1.46B,-0.48%
2018-07-25,"28,920.90","28,906.97","28,964.79","28,764.35",1.68B,0.90%
2018-07-24,"28,662.57","28,282.30","28,718.00","28,282.30",2.49B,1.44%
2018-07-23,"28,256.12","28,298.61","28,391.58","28,091.06",1.95B,0.11%
