Date,Price,Open,High,Low,Vol.,Change %
2015-09-25,"3,378.52","3,342.05","3,393.75","3,337.79",17.76M,2.44%
2015-09-24,"3,298.02","3,354.80","3,363.88","3,280.65",19.79M,-1.69%
2015-09-23,"3,354.85","3,343.51","3,381.28","3,322.51",14.87M,0.26%
2015-09-22,"3,346.05","3,447.65","3,449.93","3,341.11",18.40M,-2.91%
2015-09-21,"3,446.42","3,418.08","3,462.99","3,411.28",14.76M,0.82%
2015-09-18,"3,418.37","3,459.87","3,464.70","3,387.32",28.54M,-1.40%
2015-09-17,"3,466.96","3,489.45","3,491.12","3,464.21",13.71M,-0.37%
2015-09-16,"3,479.95","3,451.86","3,504.95","3,448.78",18.24M,1.65%
2015-09-15,"3,423.34","3,414.61","3,434.47","3,383.11",15.84M,0.30%
2015-09-14,"3,413.06","3,439.13","3,469.36","3,406.91",11.29M,-0.61%
2015-09-11,"3,434.17","3,472.01","3,472.01","3,423.32",13.70M,-0.91%
2015-09-10,"3,465.58","3,473.76","3,497.18","3,449.75",18.57M,-0.84%
2015-09-09,"3,495.01","3,517.84","3,538.99","3,490.06",15.83M,1.27%
2015-09-08,"3,451.23","3,427.81","3,488.07","3,427.81",14.65M,1.16%
2015-09-07,"3,411.58","3,423.83","3,437.85","3,394.95",9.50M,0.38%
2015-09-04,"3,398.66","3,440.93","3,442.17","3,386.70",19.08M,-1.63%
2015-09-03,"3,454.98","3,446.31","3,473.83","3,421.66",20.75M,1.31%
2015-09-02,"3,410.40","3,410.41","3,437.60","3,381.35",14.63M,0.67%
2015-09-01,"3,387.69","3,434.23","3,439.50","3,364.99",16.09M,-2.18%
2015-08-31,"3,463.12","3,459.20","3,467.77","3,436.11",12.86M,0.05%
2015-08-28,"3,461.33","3,457.88","3,461.33","3,419.03",14.61M,0.51%
2015-08-27,"3,443.67","3,415.01","3,458.42","3,404.45",19.66M,2.91%
2015-08-26,"3,346.19","3,369.39","3,406.63","3,311.58",20.54M,-1.35%
2015-08-25,"3,392.12","3,304.64","3,405.54","3,296.09",28.89M,3.87%
2015-08-24,"3,265.59","3,318.46","3,352.83","3,175.25",40.67M,-4.99%
2015-08-21,"3,437.23","3,494.88","3,535.81","3,437.23",21.44M,-3.01%
2015-08-20,"3,544.02","3,585.66","3,605.17","3,537.73",15.64M,-1.48%
2015-08-19,"3,597.43","3,643.31","3,647.06","3,597.43",11.93M,-1.61%
2015-08-18,"3,656.13","3,641.59","3,664.03","3,638.87",12.65M,0.25%
2015-08-17,"3,647.06","3,670.31","3,680.80","3,620.46",12.24M,-0.03%
2015-08-14,"3,648.08","3,674.89","3,691.86","3,642.14",12.19M,-0.66%
