Date,Price,Open,High,Low,Vol.,Change %
2019-11-22,592.71,591.15,594.45,590.95,64.25M,0.48%
2019-11-21,589.85,589.9,591.75,587.47,62.89M,-0.73%
2019-11-20,594.16,594.49,594.61,591.43,65.64M,-0.42%
2019-11-19,596.67,598.96,602.37,595.51,57.04M,-0.25%
2019-11-18,598.17,599.62,599.96,595.99,61.05M,-0.13%
2019-11-15,598.96,598.06,599.13,595.04,54.84M,0.62%
2019-11-14,595.26,596.14,598.31,595.26,62.31M,-0.38%
2019-11-13,597.56,597.36,598.4,594.92,73.03M,-0.25%
2019-11-12,599.03,597.8,600.35,597.26,64.12M,0.44%
2019-11-11,596.39,595.46,597.57,594.76,61.12M,-0.02%
2019-11-08,596.5,595.29,597.71,595.16,72.92M,-0.10%
2019-11-07,597.11,597.33,597.66,595.34,84.42M,0.37%
2019-11-06,594.93,591.31,595.68,591.3,83.57M,0.72%
2019-11-05,590.65,585.82,590.92,585.69,88.16M,0.87%
2019-11-04,585.55,583.05,587.14,582.6,86.95M,0.82%
2019-11-01,580.78,578.25,582.41,578.11,63.97M,0.72%
2019-10-31,576.63,582.22,582.61,575.56,99.17M,-0.86%
2019-10-30,581.61,580.74,582.28,578.31,71.22M,-0.04%
2019-10-29,581.82,584.12,584.12,580.47,82.51M,-0.32%
2019-10-28,583.68,582.96,585.25,581.24,64.51M,-0.02%
2019-10-25,583.81,582.88,583.81,580.03,69.37M,0.25%
2019-10-24,582.37,577.96,582.5,577.96,75.00M,1.11%
2019-10-23,575.97,573.77,577.1,573.15,70.53M,-0.08%
2019-10-22,576.41,576.02,576.9,573.65,63.41M,0.09%
2019-10-21,575.92,573.42,576.6,572.88,71.72M,0.56%
2019-10-18,572.72,575.37,575.82,571.63,68.73M,-0.62%
2019-10-17,576.27,575.52,579.88,575.28,81.86M,-0.10%
2019-10-16,576.86,579.47,581.59,576.71,86.87M,-0.52%
2019-10-15,579.87,579.25,581.07,576.29,77.31M,0.81%
2019-10-14,575.21,575.84,576.11,571.75,64.64M,-0.38%
2019-10-11,577.42,569.59,577.42,568.83,104.18M,1.59%
2019-10-10,568.37,566.46,569.05,559.74,83.44M,0.46%
2019-10-09,565.75,562.88,567.61,561.48,73.99M,0.54%
2019-10-08,562.72,570.16,570.77,562.72,63.30M,-1.21%
2019-10-07,569.6,564.18,569.91,563.78,56.15M,0.89%
2019-10-04,564.59,560.66,564.59,559.12,68.40M,1.09%
2019-10-03,558.5,556.88,560.48,553.85,76.99M,0.09%
2019-10-02,558.01,573.1,573.1,558.01,98.76M,-2.77%
2019-10-01,573.89,582.65,584.29,573.4,80.95M,-1.09%
2019-09-30,580.23,577.12,580.49,576.51,68.10M,0.33%
2019-09-27,578.31,577.86,580.04,576.9,64.42M,0.10%
2019-09-26,577.72,573.18,579.14,572.92,89.76M,0.75%
2019-09-25,573.42,572.07,573.42,567.33,68.75M,-0.25%
2019-09-24,574.84,575.41,576.65,574.77,58.34M,0.03%
2019-09-23,574.67,575.96,576.94,572,67.87M,-0.48%
2019-09-20,577.44,579.16,580.52,577.41,140.98M,-0.28%
2019-09-19,579.08,575.47,579.51,575.47,72.94M,0.41%
2019-09-18,576.69,574.53,578.19,574.22,61.89M,0.31%
2019-09-17,574.93,573.22,575.46,572.43,78.08M,0.26%
2019-09-16,573.46,575.03,575.56,572.78,81.41M,-0.58%
2019-09-13,576.83,574.36,577.68,573.54,82.92M,0.35%
2019-09-12,574.79,575,577.97,571.36,101.84M,0.28%
2019-09-11,573.17,570.04,573.46,570.04,87.02M,0.82%
2019-09-10,568.49,569.06,569.28,566.18,108.95M,0.06%
2019-09-09,568.13,570.59,570.7,567.14,71.76M,-0.30%
2019-09-06,569.84,568.52,570.39,567.73,83.12M,0.13%
2019-09-05,569.1,567.48,569.1,566.06,75.07M,1.00%
2019-09-04,563.46,563.17,564.96,561.48,61.45M,0.80%
2019-09-03,559.01,558.73,559.78,556.48,64.88M,-0.13%
2019-09-02,559.71,559.25,561.97,559.15,45.33M,0.24%
2019-08-30,558.35,555.26,559.5,555.15,78.51M,0.73%
2019-08-29,554.28,547.62,555.87,547.23,81.65M,1.08%
2019-08-28,548.38,545.69,548.93,543.57,58.89M,0.20%
2019-08-27,547.28,542.13,547.54,540.98,73.72M,0.73%
2019-08-26,543.32,539.58,545.33,538.74,44.86M,0.23%
2019-08-23,542.09,549.27,550.23,542.09,69.41M,-0.88%
2019-08-22,546.9,548.61,550.95,545.82,75.67M,-0.64%
2019-08-21,550.42,545.95,551.09,545.95,57.07M,0.95%
2019-08-20,545.23,547.38,550.03,544.22,66.39M,-0.49%
2019-08-19,547.91,546.32,548.58,544.58,73.86M,1.10%
2019-08-16,541.94,536.75,542.26,536.4,109.87M,1.33%
2019-08-15,534.84,537.37,537.9,528.68,110.07M,-0.34%
2019-08-14,536.66,546.89,546.89,533.54,94.10M,-1.65%
2019-08-13,545.69,541.28,549.56,537.05,102.30M,0.65%
2019-08-12,542.14,545.37,548.24,540.93,69.23M,-0.01%
2019-08-09,542.22,547.19,548.14,540.77,82.10M,-1.21%
2019-08-08,548.88,544.39,548.88,542.27,88.46M,1.73%
2019-08-07,539.57,539.42,544.82,534.87,103.15M,0.43%
2019-08-06,537.28,538.86,543.38,537.14,96.91M,-0.68%
2019-08-05,540.94,547.57,548.46,539.65,114.10M,-2.41%
2019-08-02,554.32,560.52,562.24,553.04,156.02M,-3.17%
2019-08-01,572.46,564.98,572.46,564.98,110.75M,0.06%
2019-07-31,572.09,573.18,574.32,571.32,72.26M,-0.39%
2019-07-30,574.34,580.51,580.51,573.26,72.52M,-0.90%
2019-07-29,579.55,578.12,582.54,577.5,69.38M,-0.09%
2019-07-26,580.08,579.16,581.05,577.74,72.12M,0.22%
2019-07-25,578.82,584.34,586.32,575.15,106.60M,-0.76%
2019-07-24,583.26,583.26,583.98,580.86,79.36M,0.20%
2019-07-23,582.08,579.13,584.37,579.13,77.62M,1.06%
2019-07-22,576,572.9,576,572.11,61.38M,0.73%
2019-07-19,571.84,574.41,575.97,570.3,70.96M,0.05%
2019-07-18,571.57,569.19,574.01,569,64.50M,-0.13%
2019-07-17,572.34,570.02,574.86,570.02,72.24M,0.20%
2019-07-16,571.21,568.33,571.82,567.34,63.77M,0.34%
2019-07-15,569.26,568.29,570.78,565.93,57.30M,0.33%
2019-07-12,567.41,568.11,568.8,566.39,57.16M,0.07%
2019-07-11,566.99,567.37,569.32,565.96,56.86M,0.25%
2019-07-10,565.57,565.32,568.69,564.92,61.06M,-0.13%
2019-07-09,566.28,568.19,568.38,564.55,61.58M,-0.54%
2019-07-08,569.36,569.4,571.61,568.34,57.68M,-0.19%
2019-07-05,570.46,573.84,574.05,568.26,61.00M,-0.54%
2019-07-04,573.53,573.32,574.36,572.82,47.87M,0.10%
2019-07-03,572.93,569.76,573.16,569.72,60.59M,0.50%
2019-07-02,570.06,569.88,570.8,567.39,68.19M,0.31%
2019-07-01,568.27,569.22,571.15,568.09,70.18M,1.16%
2019-06-28,561.76,557.99,562.18,557.71,68.27M,0.76%
