Date,Price,Open,High,Low,Vol.,Change %
2018-09-05,"75,092","74,712","75,370","74,276",2.92M,0.51%
2018-09-04,"74,712","76,192","76,192","74,605",3.26M,-1.94%
2018-09-03,"76,193","76,675","76,675","75,729",1.73M,-0.63%
2018-08-31,"76,678","76,386","77,202","76,026",4.27M,0.36%
2018-08-30,"76,404","78,389","78,389","76,372",1.73M,-2.53%
2018-08-29,"78,389","77,472","78,783","77,399",3.22M,1.18%
2018-08-28,"77,473","77,928","78,038","77,149",3.06M,-0.59%
2018-08-27,"77,930","76,264","78,008","76,264",2.84M,2.19%
2018-08-24,"76,262","75,647","76,629","75,647",3.26M,0.83%
2018-08-23,"75,634","76,898","77,232","75,466",3.99M,-1.65%
2018-08-22,"76,902","75,171","76,904","74,876",3.72M,2.29%
2018-08-21,"75,180","76,327","76,340","74,915",4.20M,-1.50%
2018-08-20,"76,328","76,029","76,497","75,608",3.69M,0.39%
2018-08-17,"76,029","76,817","76,817","75,633",3.86M,-1.03%
2018-08-16,"76,819","77,085","77,704","76,381",3.39M,-0.34%
2018-08-15,"77,078","78,614","78,618","76,829",4.52M,-1.94%
2018-08-14,"78,602","77,499","78,742","77,499",3.83M,1.43%
2018-08-13,"77,496","76,513","77,689","75,931",4.08M,1.28%
2018-08-10,"76,514","78,766","78,766","76,043",4.83M,-2.86%
2018-08-09,"78,768","79,171","79,461","78,156",3.83M,-0.48%
2018-08-08,"79,152","80,347","80,912","78,966",3.95M,-1.49%
2018-08-07,"80,347","81,093","81,742","79,923",3.98M,-0.87%
2018-08-06,"81,051","81,445","81,765","80,965",2.59M,-0.47%
2018-08-03,"81,435","79,656","81,792","79,656",3.92M,2.26%
2018-08-02,"79,637","79,237","79,896","78,573",3.10M,0.42%
2018-08-01,"79,302","79,213","79,731","78,769",3.33M,0.10%
2018-07-31,"79,220","80,279","80,279","79,016",3.46M,-1.31%
2018-07-30,"80,276","79,866","80,492","79,699",2.71M,0.51%
2018-07-27,"79,866","79,405","80,251","79,405",3.11M,0.58%
2018-07-26,"79,405","80,242","80,589","79,081",3.71M,-1.01%
2018-07-25,"80,218","79,154","80,437","79,154",3.58M,1.34%
2018-07-24,"79,155","78,005","79,497","78,005",3.38M,1.49%
2018-07-23,"77,996","78,571","78,639","77,871",2.52M,-0.73%
2018-07-20,"78,571","77,500","79,489","77,500",4.89M,1.40%
2018-07-19,"77,487","77,360","77,487","75,890",3.90M,0.16%
2018-07-18,"77,363","78,124","78,496","77,164",3.50M,-0.98%
2018-07-17,"78,130","76,653","78,522","76,482",4.00M,1.93%
2018-07-16,"76,653","76,587","76,924","76,129",3.23M,0.08%
2018-07-13,"76,594","75,856","76,682","75,554",3.42M,0.97%
2018-07-12,"75,856","74,403","75,898","74,403",3.62M,1.96%
2018-07-11,"74,399","74,862","75,025","74,196",3.88M,-0.62%
2018-07-10,"74,862","75,015","75,895","74,431",4.02M,-0.20%
2018-07-06,"75,010","74,558","75,065","74,048",2.73M,0.61%
2018-07-05,"74,553","74,751","75,127","73,756",3.67M,-0.25%
2018-07-04,"74,743","73,667","74,904","73,450",2.21M,1.46%
2018-07-03,"73,668","72,848","74,515","72,848",3.35M,1.14%
2018-07-02,"72,840","72,763","72,840","71,935",2.84M,0.11%
2018-06-29,"72,763","71,779","73,020","71,779",4.00M,1.39%
2018-06-28,"71,767","70,609","72,092","70,439",3.62M,1.64%
2018-06-27,"70,609","71,405","72,032","70,134",3.70M,-1.11%
2018-06-26,"71,405","70,968","71,622","70,203",3.61M,0.64%
2018-06-25,"70,953","70,642","71,323","69,779",3.45M,0.44%
2018-06-22,"70,641","70,077","71,058","69,907",3.15M,0.81%
2018-06-21,"70,075","72,117","72,207","70,019",3.60M,-2.84%
2018-06-20,"72,123","71,397","72,617","71,155",4.55M,1.02%
2018-06-19,"71,394","69,811","72,010","69,069",5.35M,2.26%
2018-06-18,"69,815","70,757","70,757","69,360",3.58M,-1.33%
2018-06-15,"70,758","71,421","71,421","69,583",6.66M,-0.93%
2018-06-14,"71,421","72,151","72,708","71,344",4.41M,-0.97%
2018-06-13,"72,122","72,757","72,977","71,035",4.50M,-0.87%
2018-06-12,"72,754","72,308","73,322","72,124",4.01M,0.62%
2018-06-11,"72,308","72,943","73,716","71,843",3.67M,-0.87%
2018-06-08,"72,942","73,848","74,031","71,679",6.14M,-1.23%
2018-06-07,"73,851","76,117","76,117","71,162",8.17M,-2.98%
2018-06-06,"76,117","76,641","76,967","75,518",5.02M,-0.68%
2018-06-05,"76,642","78,595","78,892","76,412",4.64M,-2.49%
2018-06-04,"78,596","77,244","78,637","77,244",4.15M,1.76%
2018-06-01,"77,240","76,779","78,169","75,524",6.23M,0.63%
2018-05-30,"76,754","76,058","77,097","75,515",7.67M,0.90%
2018-05-29,"76,072","75,361","77,214","75,361",6.16M,0.95%
2018-05-28,"75,356","78,886","78,886","75,337",4.31M,-4.49%
2018-05-25,"78,898","80,123","80,629","78,622",4.81M,-1.53%
2018-05-24,"80,122","80,860","80,860","79,027",6.37M,-0.92%
2018-05-23,"80,867","82,742","82,742","80,867",4.00M,-2.26%
2018-05-22,"82,739","81,817","83,396","81,613",4.93M,1.13%
2018-05-21,"81,815","83,095","83,883","81,576",4.37M,-1.52%
2018-05-18,"83,082","83,614","83,614","81,391",5.91M,-0.65%
2018-05-17,"83,622","86,537","86,537","83,377",5.68M,-3.37%
2018-05-16,"86,537","85,122","86,678","85,044",3.82M,1.65%
2018-05-15,"85,130","85,225","85,231","83,830",4.54M,-0.12%
2018-05-14,"85,232","85,222","86,105","84,688",4.21M,0.01%
2018-05-11,"85,220","85,861","86,406","85,183",4.52M,-0.75%
2018-05-10,"85,861","84,284","86,201","84,284",4.75M,1.89%
2018-05-09,"84,265","82,977","84,447","82,855",4.84M,1.58%
2018-05-08,"82,956","82,715","83,409","82,201",4.07M,0.29%
2018-05-07,"82,714","83,122","83,643","82,602",2.93M,-0.49%
2018-05-04,"83,118","83,286","83,671","82,746",3.58M,-0.20%
2018-05-03,"83,288","84,547","84,562","83,178",4.10M,-1.49%
2018-05-02,"84,547","86,111","86,111","84,383",3.84M,-1.82%
2018-04-30,"86,116","86,443","86,739","85,979",2.25M,-0.38%
2018-04-27,"86,445","86,383","87,179","86,262",3.14M,0.07%
2018-04-26,"86,383","85,051","86,383","85,051",3.23M,1.57%
2018-04-25,"85,044","85,466","85,466","84,349",3.32M,-0.50%
2018-04-24,"85,469","85,603","86,578","85,106",2.93M,-0.16%
